"metres","GR"
195.3768,8.0997
195.5292,8.6378
195.6816,8.9881
195.834,9.3992
195.9864,9.0886
196.1388,9.0486
196.2912,9.0133
196.4436,8.3391
196.596,8.491
196.7484,9.1159
196.9008,9.2032
197.0532,8.6383
197.2056,8.0343
197.358,7.8146
197.5104,7.2964
197.6628,7.9225
197.8152,8.2519
197.9676,8.0253
198.12,7.7418
198.2724,7.8419
198.4248,7.5517
198.5772,6.9772
198.7296,6.9464
198.882,7.0215
199.0344,6.8827
199.1868,6.9043
199.3392,7.9617
199.4916,8.6532
199.644,9.1714
199.7964,9.2389
199.9488,8.8842
200.1012,9.1338
200.2536,9.156
200.406,8.7378
200.5584,9.3011
200.7108,9.9684
200.8632,9.5748
201.0156,9.0424
201.168,8.8094
201.3204,8.6885
201.4728,8.3203
201.6252,8.2976
201.7776,9.236
201.93,9.8127
202.0824,9.2881
202.2348,8.7386
202.3872,8.5671
202.5396,8.6465
202.692,8.2916
202.8444,7.7616
202.9968,8.1146
203.1492,8.4429
203.3016,8.0346
203.454,8.059
203.6064,7.7503
203.7588,8.5325
203.9112,9.0537
204.0636,8.7701
204.216,9.3724
204.3684,9.8804
204.5208,10.1304
204.6732,10.1586
204.8256,9.8497
204.978,8.9673
205.1304,8.0532
205.2828,8.2499
205.4352,8.6806
205.5876,8.5702
205.74,8.7646
205.8924,9.3269
206.0448,9.523
206.1972,8.9234
206.3496,7.1235
206.502,7.1529
206.6544,7.1366
206.8068,7.4387
206.9592,8.7346
207.1116,9.1162
207.264,9.3031
207.4164,9.4839
207.5688,9.7192
207.7212,9.9736
207.8736,10.2211
208.026,10.8645
208.1784,11.4746
208.3308,11.9638
208.4832,11.8443
208.6356,10.819
208.788,11.2062
208.9404,11.4172
209.0928,10.8366
209.2452,10.0257
209.3976,9.978
209.55,9.9443
209.7024,9.8826
209.8548,10.038
210.0072,10.0492
210.1596,9.4561
210.312,9.189
210.4644,8.5907
210.6168,8.1185
210.7692,8.3332
210.9216,9.136
211.074,8.7735
211.2264,8.6716
211.3788,8.3229
211.5312,7.8805
211.6836,8.2302
211.836,8.3705
211.9884,7.9223
212.1408,8.1732
212.2932,8.6115
212.4456,7.736
212.598,7.9122
212.7504,8.4724
212.9028,8.7981
213.0552,8.4559
213.2076,7.5863
213.36,7.8239
213.5124,8.4552
213.6648,9.4021
213.8172,10.6784
213.9696,12.8602
214.122,14.0994
214.2744,15.6433
214.4268,18.2437
214.5792,20.6059
214.7316,21.9784
214.884,22.0836
215.0364,19.86
215.1888,19.3515
215.3412,18.7703
215.4936,17.996
215.646,17.2598
215.7984,14.9471
215.9508,12.9413
216.1032,10.8699
216.2556,10.1981
216.408,10.8621
216.5604,11.752
216.7128,11.2499
216.8652,9.6026
217.0176,9.0892
217.17,9.1201
217.3224,8.0815
217.4748,7.4367
217.6272,7.5085
217.7796,7.7588
217.932,8.8663
218.0844,10.2512
218.2368,10.0348
218.3892,11.4933
218.5416,12.9219
218.694,12.6723
218.8464,10.7393
218.9988,9.9513
219.1512,9.5522
219.3036,9.012
219.456,8.9817
219.6084,9.4063
219.7608,8.888
219.9132,9.3993
220.0656,10.5331
220.218,10.6555
220.3704,9.4079
220.5228,8.7743
220.6752,8.9098
220.8276,9.3302
220.98,10.0117
221.1324,10.2393
221.2848,9.8357
221.4372,9.0785
221.5896,8.3142
221.742,7.9071
221.8944,8.4527
222.0468,8.4879
222.1992,7.9128
222.3516,8.0984
222.504,7.6905
222.6564,8.1366
222.8088,8.4455
222.9612,7.4543
223.1136,7.3082
223.266,8.1494
223.4184,8.8845
223.5708,8.8758
223.7232,7.5726
223.8756,6.6987
224.028,6.2249
224.1804,6.7176
224.3328,7.4349
224.4852,7.5254
224.6376,7.105
224.79,7.1371
224.9424,8.0348
225.0948,8.2349
225.2472,7.6609
225.3996,7.4456
225.552,8.144
225.7044,7.9161
225.8568,7.1514
226.0092,6.929
226.1616,7.0894
226.314,7.7019
226.4664,8.9853
226.6188,9.9904
226.7712,10.6767
226.9236,11.0474
227.076,11.2851
227.2284,10.8371
227.3808,11.9315
227.5332,11.743
227.6856,11.3227
227.838,10.8188
227.9904,9.9631
228.1428,7.8278
228.2952,7.2431
228.4476,7.0762
228.6,8.6608
228.7524,8.4834
228.9048,8.7948
229.0572,9.1625
229.2096,8.3107
229.362,7.67
229.5144,7.9566
229.6668,8.1852
229.8192,8.4356
229.9716,9.4439
230.124,10.96
230.2764,10.9797
230.4288,10.3104
230.5812,11.1898
230.7336,12.2605
230.886,11.5117
231.0384,11.4266
231.1908,11.3178
231.3432,10.8018
231.4956,9.8943
231.648,9.6095
231.8004,9.2215
231.9528,8.4251
232.1052,8.6188
232.2576,8.0556
232.41,7.289
232.5624,7.9946
232.7148,8.0727
232.8672,6.9085
233.0196,7.0445
233.172,7.3117
233.3244,7.5809
233.4768,7.4563
233.6292,7.3197
233.7816,7.5689
233.934,7.8316
234.0864,8.0283
234.2388,7.9644
234.3912,8.2079
234.5436,8.9586
234.696,9.8404
234.8484,10.4395
235.0008,10.8474
235.1532,10.9899
235.3056,10.9544
235.458,10.7128
235.6104,10.5864
235.7628,10.4586
235.9152,10.311
236.0676,10.2776
236.22,10.7782
236.3724,11.2774
236.5248,11.8121
236.6772,12.8549
236.8296,12.9478
236.982,12.1098
237.1344,11.5816
237.2868,12.2367
237.4392,12.0056
237.5916,11.2974
237.744,12.1329
237.8964,12.8329
238.0488,14.3702
238.2012,14.5404
238.3536,13.978
238.506,14.7689
238.6584,15.9726
238.8108,16.0146
238.9632,15.2182
239.1156,14.0935
239.268,13.2867
239.4204,13.9552
239.5728,14.9399
239.7252,15.0659
239.8776,14.204
240.03,14.4689
240.1824,14.8168
240.3348,16.2246
240.4872,16.4016
240.6396,15.873
240.792,14.7227
240.9444,14.2934
241.0968,15.6977
241.2492,16.1116
241.4016,15.9703
241.554,15.7965
241.7064,14.4837
241.8588,14.8861
242.0112,16.036
242.1636,17.2455
242.316,17.7397
242.4684,16.7082
242.6208,15.2917
242.7732,14.2816
242.9256,13.5692
243.078,13.7868
243.2304,13.9533
243.3828,13.93
243.5352,12.6033
243.6876,13.5696
243.84,14.6086
243.9924,15.3437
244.1448,14.1829
244.2972,14.6085
244.4496,15.0323
244.602,13.9273
244.7544,12.9793
244.9068,12.3137
245.0592,11.6156
245.2116,12.2486
245.364,13.4461
245.5164,13.9787
245.6688,15.0005
245.8212,15.8122
245.9736,16.2423
246.126,17.276
246.2784,17.5025
246.4308,16.3568
246.5832,15.9754
246.7356,15.6132
246.888,15.5132
247.0404,16.0931
247.1928,16.9263
247.3452,16.8098
247.4976,16.2881
247.65,16.6658
247.8024,16.1946
247.9548,14.8877
248.1072,14.241
248.2596,15.0004
248.412,15.7302
248.5644,15.9211
248.7168,14.9505
248.8692,14.0547
249.0216,13.832
249.174,13.0951
249.3264,11.7627
249.4788,10.8106
249.6312,10.6211
249.7836,10.7884
249.936,12.7811
250.0884,13.4526
250.2408,13.5299
250.3932,13.3188
250.5456,12.94
250.698,12.5163
250.8504,12.2759
251.0028,12.2304
251.1552,12.7353
251.3076,13.4519
251.46,13.677
251.6124,13.0547
251.7648,13.3991
251.9172,12.9054
252.0696,12.5232
252.222,12.7174
252.3744,11.47
252.5268,11.0385
252.6792,12.0278
252.8316,11.3362
252.984,10.8773
253.1364,10.7524
253.2888,11.3086
253.4412,11.8021
253.5936,11.5935
253.746,11.5922
253.8984,12.797
254.0508,13.3324
254.2032,13.5157
254.3556,13.9547
254.508,15.2103
254.6604,17.4256
254.8128,20.4478
254.9652,23.0503
255.1176,25.4929
255.27,25.7566
255.4224,22.3613
255.5748,18.0737
255.7272,13.9004
255.8796,11.3598
256.032,11.4037
256.1844,13.1576
256.3368,13.329
256.4892,12.3093
256.6416,11.3819
256.794,11.9909
256.9464,12.9739
257.0988,13.6822
257.2512,14.1542
257.4036,14.2697
257.556,14.1498
257.7084,12.9032
257.8608,11.1795
258.0132,10.8777
258.1656,11.5341
258.318,12.6599
258.4704,13.0404
258.6228,12.3521
258.7752,12.695
258.9276,13.2833
259.08,13.5334
259.2324,12.7558
259.3848,13.0468
259.5372,13.3955
259.6896,13.6646
259.842,13.7152
259.9944,13.9374
260.1468,14.0841
260.2992,12.7719
260.4516,12.4115
260.604,12.1213
260.7564,11.2768
260.9088,11.2121
261.0612,11.4966
261.2136,11.6471
261.366,10.3069
261.5184,9.4419
261.6708,8.8417
261.8232,8.5401
261.9756,9.6389
262.128,10.8376
262.2804,12.029
262.4328,11.5378
262.5852,11.7998
262.7376,12.4484
262.89,12.9016
263.0424,12.8099
263.1948,12.4576
263.3472,12.0508
263.4996,12.915
263.652,14.3087
263.8044,13.7987
263.9568,13.4202
264.1092,13.4161
264.2616,13.7097
264.414,14.7049
264.5664,15.8551
264.7188,16.1615
264.8712,14.7894
265.0236,14.3184
265.176,14.4076
265.3284,13.6428
265.4808,13.1753
265.6332,13.3917
265.7856,13.5687
265.938,12.9763
266.0904,11.9807
266.2428,11.8546
266.3952,11.8496
266.5476,12.1339
266.7,12.5974
266.8524,13.9114
267.0048,17.1181
267.1572,19.0685
267.3096,21.5977
267.462,23.2257
267.6144,22.4414
267.7668,18.2181
267.9192,16.8977
268.0716,16.3569
268.224,14.9083
268.3764,13.8395
268.5288,14.5354
268.6812,14.9177
268.8336,13.5215
268.986,13.5479
269.1384,14.4091
269.2908,14.563
269.4432,13.5581
269.5956,12.8999
269.748,13.4649
269.9004,14.9642
270.0528,16.469
270.2052,17.339
270.3576,18.8392
270.51,19.9151
270.6624,18.9999
270.8148,20.4539
270.9672,20.48
271.1196,20.6713
271.272,21.7121
271.4244,22.382
271.5768,21.2585
271.7292,20.1479
271.8816,19.6091
272.034,19.3691
272.1864,19.1442
272.3388,16.5345
272.4912,15.3733
272.6436,14.0286
272.796,14.8778
272.9484,14.8655
273.1008,13.841
273.2532,12.5936
273.4056,12.0217
273.558,13.2549
273.7104,15.3259
273.8628,16.2772
274.0152,15.743
274.1676,15.1405
274.32,15.4072
274.4724,14.9937
274.6248,13.8426
274.7772,15.0281
274.9296,16.2448
275.082,16.324
275.2344,15.1754
275.3868,14.2549
275.5392,13.4197
275.6916,12.739
275.844,12.7347
275.9964,13.4118
276.1488,13.1935
276.3012,12.7469
276.4536,13.3665
276.606,13.1988
276.7584,11.0105
276.9108,10.5572
277.0632,10.0347
277.2156,9.5688
277.368,10.4365
277.5204,11.2585
277.6728,11.852
277.8252,12.4602
277.9776,13.3523
278.13,14.3339
278.2824,14.5912
278.4348,13.5146
278.5872,13.8092
278.7396,14.3619
278.892,14.5059
279.0444,13.6535
279.1968,13.9693
279.3492,14.5905
279.5016,14.9225
279.654,14.6366
279.8064,14.9044
279.9588,15.0762
280.1112,14.7213
280.2636,14.053
280.416,13.7294
280.5684,13.6294
280.7208,13.8942
280.8732,14.3762
281.0256,14.5139
281.178,14.3045
281.3304,13.8563
281.4828,13.7489
281.6352,14.7818
281.7876,15.753
281.94,16.4681
282.0924,16.5737
282.2448,15.1108
282.3972,14.4199
282.5496,14.6466
282.702,14.3613
282.8544,15.1021
283.0068,14.7072
283.1592,13.3494
283.3116,13.0019
283.464,12.9955
283.6164,12.8173
283.7688,13.0709
283.9212,12.5191
284.0736,12.835
284.226,14.252
284.3784,14.8553
284.5308,15.0752
284.6832,15.2237
284.8356,15.585
284.988,16.3001
285.1404,17.2348
285.2928,18.0604
285.4452,18.2096
285.5976,16.5187
285.75,14.4267
285.9024,13.4639
286.0548,13.1679
286.2072,12.9272
286.3596,12.7314
286.512,12.953
286.6644,13.3172
286.8168,11.9063
286.9692,11.316
287.1216,10.3263
287.274,11.4006
287.4264,12.5012
287.5788,13.0259
287.7312,13.6837
287.8836,14.0111
288.036,14.4371
288.1884,13.7627
288.3408,12.395
288.4932,13.3847
288.6456,13.6572
288.798,13.4066
288.9504,14.6211
289.1028,15.1855
289.2552,15.7908
289.4076,15.3468
289.56,14.3914
289.7124,13.9633
289.8648,14.2974
290.0172,15.8584
290.1696,17.0683
290.322,17.8315
290.4744,18.0356
290.6268,17.3822
290.7792,15.5589
290.9316,14.5914
291.084,14.3115
291.2364,14.1756
291.3888,13.8817
291.5412,13.0142
291.6936,13.4407
291.846,14.9482
291.9984,16.0765
292.1508,16.4502
292.3032,17.1121
292.4556,16.9777
292.608,16.3507
292.7604,15.203
292.9128,15.6719
293.0652,16.6195
293.2176,16.4862
293.37,17.0369
293.5224,17.8206
293.6748,17.5448
293.8272,17.3837
293.9796,19.0898
294.132,20.4149
294.2844,20.7893
294.4368,20.0588
294.5892,19.6673
294.7416,19.7073
294.894,19.7076
295.0464,18.7361
295.1988,19.3748
295.3512,19.4801
295.5036,16.6696
295.656,14.8767
295.8084,14.0484
295.9608,14.1658
296.1132,14.0948
296.2656,13.4153
296.418,11.2452
296.5704,10.8846
296.7228,11.6437
296.8752,12.4733
297.0276,12.3194
297.18,13.2558
297.3324,13.3239
297.4848,11.9972
297.6372,11.7435
297.7896,12.6609
297.942,13.933
298.0944,14.6774
298.2468,14.4753
298.3992,14.1127
298.5516,13.5281
298.704,12.8503
298.8564,12.5928
299.0088,13.3877
299.1612,12.8924
299.3136,12.252
299.466,12.4322
299.6184,12.1868
299.7708,11.4279
299.9232,11.7819
300.0756,13.4889
300.228,13.2924
300.3804,12.9482
300.5328,13.2283
300.6852,12.7283
300.8376,11.5862
300.99,10.6914
301.1424,11.7999
301.2948,12.951
301.4472,12.3955
301.5996,12.4022
301.752,13.5785
301.9044,13.9358
302.0568,13.9678
302.2092,13.901
302.3616,13.7439
302.514,13.4264
302.6664,12.2786
302.8188,11.0973
302.9712,10.6608
303.1236,12.0667
303.276,12.0463
303.4284,10.8318
303.5808,10.4875
303.7332,10.9302
